file,variable,missing_pct,gapfilled_pct,gapfilling_method,tier
met_insituHT_AU-Lit_2016-2024.nc,LWdown,0.0,9.8,ERA-Interim,mild
met_insituHT_AU-Lit_2016-2024.nc,VPD,0.0,15.2,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,PSurf,0.0,15.9,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,Rainf,0.0,15.5,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,Wind,0.0,19.3,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,Qair,0.0,15.2,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,RH,0.0,15.2,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,CO2air,0.0,23.9,observed,medium
met_insituHT_AU-Lon_2019-2024.nc,Tair,0.0,19.9,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,SWdown,0.0,19.7,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,LWdown,0.0,20.8,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,VPD,0.0,24.3,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,PSurf,0.0,22.9,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,Rainf,0.0,16.6,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,Wind,0.0,20.5,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,Qair,0.0,24.3,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,RH,0.0,24.3,ERA-Interim,medium
met_insituHT_AU-Lon_2019-2024.nc,CO2air,0.0,25.6,observed,heavy
met_insituHT_AU-Lox_2008-2009.nc,Tair,0.0,59.8,ERA-Interim,complete
met_insituHT_AU-Lox_2008-2009.nc,SWdown,0.0,59.8,ERA-Interim,complete
